intersection_cluster,geometry,lat,lon,nearest_node,lat_rounded,lon_rounded,accident_count
0,POINT (-75.642128175 45.432695975),45.432695975,-75.642128175,901150264,45.432696,-75.6421282,84
2,POINT (-75.6776488 45.4085659),45.4085659,-75.6776488,16266598,45.4085659,-75.6776488,37
4,POINT (-75.6784064 45.409794099999985),45.409794099999985,-75.6784064,21456938,45.4097941,-75.6784064,16
6,POINT (-75.7257577 45.388569099999984),45.388569099999984,-75.7257577,30725012,45.3885691,-75.7257577,52
10,POINT (-75.89871345 45.308859749999996),45.308859749999996,-75.89871345,4665647525,45.3088597,-75.8987134,25
13,POINT (-75.717741875 45.274265525000004),45.274265525000004,-75.717741875,2291989043,45.2742655,-75.7177419,9
21,POINT (-75.7488217 45.39431619999999),45.39431619999999,-75.7488217,252674649,45.3943162,-75.7488217,29
25,POINT (-75.6432015 45.3785754),45.3785754,-75.6432015,5721594278,45.3785754,-75.6432015,9
33,POINT (-75.5130018 45.47890559999999),45.47890559999999,-75.5130018,412655754,45.4789056,-75.5130018,11
39,POINT (-75.6788663 45.420527099999994),45.420527099999994,-75.6788663,476099844,45.4205271,-75.6788663,32
40,POINT (-75.6801762 45.422068999999986),45.422068999999986,-75.6801762,476099845,45.422069,-75.6801762,34
42,POINT (-75.6829123 45.425330899999985),45.425330899999985,-75.6829123,476099850,45.4253309,-75.6829123,88
43,POINT (-75.6847465 45.42454860000001),45.42454860000001,-75.6847465,476099852,45.4245486,-75.6847465,41
47,POINT (-75.6449411 45.37794399999999),45.37794399999999,-75.6449411,489851260,45.377944,-75.6449411,40
50,POINT (-75.6892401 45.416554099999985),45.416554099999985,-75.6892401,824642472,45.4165541,-75.6892401,25
52,POINT (-75.7089824 45.396983249999984),45.396983249999984,-75.7089824,901056837,45.3969832,-75.7089824,7
53,POINT (-75.70683110000002 45.396163699999995),45.396163699999995,-75.70683110000002,825268785,45.3961637,-75.7068311,28
69,POINT (-75.89569737500001 45.29351277499999),45.29351277499999,-75.89569737500001,1787958413,45.2935128,-75.8956974,167
79,POINT (-75.8754906 45.301810249999996),45.301810249999996,-75.8754906,899574947,45.3018102,-75.8754906,15
80,POINT (-75.8941278 45.29449249999999),45.29449249999999,-75.8941278,899576493,45.2944925,-75.8941278,30
81,POINT (-75.9177392 45.30973629999998),45.30973629999998,-75.9177392,1578945611,45.3097363,-75.9177392,82
92,POINT (-75.93144165 45.267455699999985),45.267455699999985,-75.93144165,899588057,45.2674557,-75.9314416,9
93,POINT (-75.900489 45.3099845),45.3099845,-75.900489,899588209,45.3099845,-75.900489,12
94,POINT (-75.9029629 45.3113956),45.3113956,-75.9029629,899593171,45.3113956,-75.9029629,62
96,POINT (-75.9016965 45.3106769),45.3106769,-75.9016965,899596359,45.3106769,-75.9016965,29
102,POINT (-75.93004339999999 45.26751384999999),45.26751384999999,-75.93004339999999,4674506972,45.2675138,-75.9300434,49
112,POINT (-75.8344148 45.323812999999994),45.323812999999994,-75.8344148,899859201,45.323813,-75.8344148,7
126,POINT (-75.791379 45.35228429999999),45.35228429999999,-75.791379,899957491,45.3522843,-75.791379,42
129,POINT (-75.8073792 45.352724299999984),45.352724299999984,-75.8073792,899961624,45.3527243,-75.8073792,37
